,rent,bedrooms,bathrooms,size_sqft
0,0.06684491979,0,0.2,0.05054945055
1,0.5454545455,0.4,0.4,0.3846153846
2,0.1711229947,0.2,0.2,0.1463736264
3,0.1868983957,0.2,0.2,0.1593406593
4,0.8663101604,0.4,0.4,1
5,0.1336898396,0.6,0.4,0.1868131868
6,0.0371657754,0,0,0.07692307692
7,0.09064171123,0,0.2,0.07230769231
8,0.7326203209,0.4,0.4,0.321978022
9,0.179144385,0.2,0.2,0.1461538462
10,0.08823529412,0.2,0.2,0.06593406593
11,0.3005347594,0.6,0.4,0.2613186813
12,0.1911764706,0.2,0.2,0.1428571429
13,0.1898395722,0.2,0.2,0.1184615385
14,0.128342246,0.2,0.2,0.1531868132
15,0.1550802139,0.4,0.2,0.1428571429
16,0.04786096257,0.2,0.2,0.05494505495
18,0.4117647059,0.4,0.4,0.3294505495
19,0.1951871658,0.2,0.2,0.1362637363
20,0.09090909091,0.1,0.2,0.07098901099
21,0.0614973262,0.2,0.2,0.0989010989
22,0.03475935829,0,0.2,0.03296703297
23,0.1109625668,0.2,0.2,0.08835164835
24,0.05855614973,0.5,0.2,0.1648351648
25,0.1973262032,0.2,0.2,0.1259340659
26,0.3312834225,0.4,0.4,0.2595604396
27,0.4652406417,0.2,0.4,0.2967032967
28,0.09572192513,0.4,0.2,0.1208791209
29,0.5135828877,0.6,0.6,0.2323076923
30,0.04278074866,0,0.2,0.03516483516
31,0.06411764706,0,0.2,0.03296703297
32,0.1256684492,0.4,0.2,0.1127472527
33,0.1336898396,0.4,0.2,0.1428571429
34,0.4545454545,0.4,0.4,0.2241758242
35,0.1631016043,0.2,0.2,0.1171428571
36,0.06390374332,0.4,0.2,0.1208791209
37,0.1243315508,0.2,0.2,0.08791208791
38,0.4117647059,0.4,0.4,0.2197802198
39,0.2406417112,0.4,0.4,0.2087912088
40,0.106684492,0.2,0.2,0.04725274725
41,0.04812834225,0,0.2,0.01648351648
42,0.2237967914,0.4,0.2,0.170989011
43,0.08823529412,0,0.2,0.1131868132
44,0.07754010695,0.2,0.2,0.07692307692
45,0.3689839572,0.4,0.4,0.2595604396
46,0.03743315508,0.4,0.2,0.1098901099
47,0.1975935829,0.6,0.2,0.1868131868
48,0.0307486631,0.4,0.2,0.1428571429
49,0.1390374332,0.2,0.2,0.1098901099
50,0.05882352941,0,0.2,0.05494505495
51,0.2152406417,0.2,0.2,0.09824175824
52,0.1176470588,0,0.2,0.06043956044
53,0.1390374332,0.2,0.2,0.08637362637
54,0.1109625668,0.4,0.2,0.1208791209
55,0.2727272727,0.4,0.4,0.1854945055
56,0.5989304813,0.4,0.4,0.4026373626
57,0.0692513369,0,0.2,0.007692307692
58,0.04807486631,0.4,0.2,0.1428571429
59,0.06042780749,0,0.2,0.01758241758
60,0.4652406417,0.4,0.4,0.2347252747
61,0.2727272727,0.6,0.4,0.1868131868
62,0.2457219251,0.4,0.4,0.2197802198
63,0.06951871658,0,0.2,0.05274725275
