total_experience_years,annual_base_pay
13,125000
15,65000
4,86000
4,105000
4,110000
5,40000
4,45000
8,135000
2,105000
1,80000
10,120000
2,78000
2,60000
4,63000
4,63000
8,38
5,93000
19,131000
0,24
5,85000
10,150000
0,95000
2,55000
5,125000
6,145000
,78000
6,120000
5,17264
8,36.5
1,55000
4,80001
8,100000
5,125000
2.5,82000
40,103000
5,80000
2,80000
2,50000
20,190000
18,119000
10,500000
1,115000
9,38000
8,325000
8,100000
2,23000
5,138000
4,140000
12,115000
,83000
1.5,90000
10,1575
1,105000
3,420000
2.5,100000
4,28500
4,275000
10,61.7
0,95000
10,88000
1,84000
3,115000
11,103000
4,94000
3,380000
10,140000
7,55000
4,24073
1,85000
3,86742
10,151000
4,30000
8,112000
3,77000
11,165000
10,127000
,129857
10,165000
10,93000
5,120000
10,130000
8,45000
4,125000
10,135500
5,65000
9,130000
1,12000
14,190000
0,8000
1.5,72000
15,178000
1,50000
1,120000
7,62000
8,90000
11,54100
4,115000
7,78000
2,140
10,90000
12,80000
10,155000
6,130000
9,65000
2.5,132000
6,225000
10,125000
8,100000
3,46500
6,85000
10,115000
0,60000
1,100000
,125000
5,130000
5,79000
3,150000
1,75000
0,87000
3,48500
4,91000
0,300000
12,115000
3,145000
0,43000
5,140
9,6000
2,51000
2,131000
6,145000
2,77000
17,175000
4,125000
5,15000
0,55000
3,80000
4,85000
8,170000
16,132000
2.75,72200
16,37500
20,165000
2,75000
5,61000
2,105000
3,65000
10,100000
7,84000
3,120000
2,54000
9,145000
23,130000
9,151000
5,82000
1,48000
3,62568
0,60000
10,101000
4,38000
10,80000
2.5,40000
7,67000
5,132000
6,30000
3,80000
8,105000
5,125000
10,38400
4,42000
10,187500
20,1000000
15,125000
15,112000
1,105000
9,270000
15,110000
4,88000
10,180000
2,80000
3,43000
5,28800
10,120000
4,113000
5,145000
15,175000
11,102000
4,130000
0,105000
4,206000
10,123000
7,128000
13,156000
10,190000
3.5,18000
2,60000
12,135000
3,152000
6,675000
6,45000
8,88000
6,90000
5,130000
15,275000
7,101000
6,110406.48
10,75000
15,162000
1,96000
4,90000
18,29000
2,60000
3.5,33000
1,46999
7,167000
16,103000
,106000
2,450000
10,350000
8,155000
6,125000
1,60528
16,9250000
1,80000
20,125000
12,145000
10,120000
1,92000
20,75000
15,260000
2,46000
10,310000
6,73200
2,60000
1,120000
2,120000
3,57450
1.5,137000
2,51000
5,115000
55,120
4,125000
6,32000
1,78000
5,140000
,98000
6,50000
13,155000
5,45000
1,70000
15,120000
10,190000
2,52200
4,42000
5,64960
3,118000
15,101000
5,80000
5,190000
21,150000
4,55000
5,60000
10,1000000
